,区域,小区名称,户型,面积(㎡),价格(元/月),位置
349,东城,京宝花园,3室1厅,194.83 ,24000 ,北京市东城区京宝花园
350,东城,东四六条,1室1厅,37.70 ,13000 ,北京市东城区东四六条
351,东城,当代MOMA,4室2厅,331.87 ,55000 ,北京市东城区当代MOMA
352,东城,盛德大厦,3室1厅,145.52 ,23000 ,北京市东城区盛德大厦
353,东城,雍和家园一期,3室1厅,171.17 ,19000 ,北京市东城区雍和家园一期
360,东城,和平里一区,1室1厅,37.70 ,6000 ,北京市东城区和平里一区
369,东城,禾风仕家,3室2厅,75.47 ,20000 ,北京市东城区禾风仕家
383,东城,演乐胡同,1室1厅,28.00 ,5500 ,北京市东城区演乐胡同
384,东城,中景濠庭,3室1厅,203.16 ,28000 ,北京市东城区中景濠庭
385,东城,海晟名苑北区,1室1厅,74.62 ,13000 ,北京市东城区海晟名苑北区
386,东城,演乐胡同,1室1厅,32.33 ,6500 ,北京市东城区演乐胡同
387,东城,兴隆都市馨园,1室1厅,53.19 ,7200 ,北京市东城区兴隆都市馨园
388,东城,海晟名苑北区,1室0厅,44.53 ,8600 ,北京市东城区海晟名苑北区
389,东城,美术馆后街,3室1厅,76.47 ,12000 ,北京市东城区美术馆后街
392,东城,幸福南里,2室1厅,41.66 ,5500 ,北京市东城区幸福南里
393,东城,东四四条,2室1厅,18.10 ,8800 ,北京市东城区东四四条
396,东城,北京上舍,1室1厅,61.06 ,6500 ,北京市东城区北京上舍
398,东城,煤渣胡同,1室1厅,51.10 ,7500 ,北京市东城区煤渣胡同
399,东城,芳嘉园胡同,2室1厅,72.44 ,9600 ,北京市东城区芳嘉园胡同
400,东城,金桥国际,1室1厅,63.96 ,7500 ,北京市东城区金桥国际
401,东城,民旺园,3室1厅,65.51 ,8000 ,北京市东城区民旺园
402,东城,交林,2室1厅,54.20 ,7200 ,北京市东城区交林
403,东城,青年湖东里,2室1厅,61.20 ,8000 ,北京市东城区青年湖东里
404,东城,朝阳门南小街,2室1厅,69.48 ,9800 ,北京市东城区朝阳门南小街
405,东城,富贵园二区,3室1厅,104.27 ,12000 ,北京市东城区富贵园二区
406,东城,分司厅胡同11号院,1室1厅,32.19 ,5800 ,北京市东城区分司厅胡同11号院
407,东城,土儿胡同,2室1厅,69.69 ,10000 ,北京市东城区土儿胡同
409,东城,豆瓣胡同,2室1厅,71.68 ,8000 ,北京市东城区豆瓣胡同
410,东城,新景家园西区,2室1厅,92.75 ,10500 ,北京市东城区新景家园西区
411,东城,左安浦园,2室1厅,75.15 ,7500 ,北京市东城区左安浦园
412,丰台,东滨河路2号院,2室1厅,83.24 ,6300 ,北京市丰台区东滨河路2号院
413,丰台,角门东里,2室1厅,59.60 ,5500 ,北京市丰台区角门东里
414,丰台,上海建筑,2室1厅,81.20 ,6900 ,北京市丰台区上海建筑
415,丰台,诚苑南里,2室1厅,76.25 ,4300 ,北京市丰台区诚苑南里
416,丰台,新村三里,2室1厅,64.49 ,6200 ,北京市丰台区新村三里
417,丰台,刘家窑南里,2室1厅,52.80 ,5700 ,北京市丰台区刘家窑南里
418,丰台,南曦大厦,2室1厅,142.23 ,8000 ,北京市丰台区南曦大厦
419,丰台,建欣苑三里,2室1厅,65.99 ,5600 ,北京市丰台区建欣苑三里
420,丰台,诚苑南里,2室1厅,75.35 ,4600 ,北京市丰台区诚苑南里
421,丰台,芳群园一区,2室1厅,56.22 ,6700 ,北京市丰台区芳群园一区
422,丰台,城市涧,1室0厅,38.37 ,5000 ,北京市丰台区城市涧
423,丰台,南苑北里二区,3室1厅,81.87 ,4600 ,北京市丰台区南苑北里二区
424,丰台,天伦锦城,1室1厅,60.53 ,4500 ,北京市丰台区天伦锦城
425,丰台,莲馨嘉园,2室2厅,111.09 ,8600 ,北京市丰台区莲馨嘉园
426,丰台,棉花城,4室1厅,176.77 ,25000 ,北京市丰台区棉花城
427,丰台,首科花园,2室1厅,94.24 ,7900 ,北京市丰台区首科花园
428,丰台,怡海花园富泽园,2室1厅,104.66 ,8000 ,北京市丰台区怡海花园富泽园
429,丰台,恋日花都,3室2厅,161.11 ,13000 ,北京市丰台区恋日花都
430,丰台,中景理想家,2室1厅,86.17 ,7000 ,北京市丰台区中景理想家
431,丰台,芳古园二区,3室2厅,148.92 ,16000 ,北京市丰台区芳古园二区
432,丰台,怡海花园恒丰园,3室2厅,203.23 ,15000 ,北京市丰台区怡海花园恒丰园
433,丰台,恒富中街6号院,3室2厅,160.26 ,9500 ,北京市丰台区恒富中街6号院
434,丰台,一栋苑,2室1厅,90.94 ,7000 ,北京市丰台区一栋苑
435,丰台,新村二里,2室1厅,55.90 ,4800 ,北京市丰台区新村二里
436,丰台,南庭新苑北区,2室1厅,68.00 ,4800 ,北京市丰台区南庭新苑北区
437,丰台,六里桥3号院,2室1厅,76.24 ,6000 ,北京市丰台区六里桥3号院
438,丰台,北大地二里,2室1厅,61.50 ,5200 ,北京市丰台区北大地二里
439,丰台,和光里,2室1厅,96.31 ,5800 ,北京市丰台区和光里
440,丰台,康乐园,2室1厅,62.01 ,4000 ,北京市丰台区康乐园
441,丰台,天创公馆,3室2厅,137.33 ,14000 ,北京市丰台区天创公馆
442,丰台,刘家窑南里,2室1厅,65.10 ,6000 ,北京市丰台区刘家窑南里
443,丰台,新华街一里,2室1厅,42.30 ,4600 ,北京市丰台区新华街一里
444,丰台,东丽温泉,2室1厅,78.83 ,5800 ,北京市丰台区东丽温泉
445,丰台,久敬佳园二区,2室2厅,104.57 ,5500 ,北京市丰台区久敬佳园二区
446,丰台,银海星月,2室1厅,66.52 ,4300 ,北京市丰台区银海星月
447,丰台,珠江峰景,3室1厅,126.99 ,8000 ,北京市丰台区珠江峰景
448,丰台,华源二里,2室1厅,95.17 ,7500 ,北京市丰台区华源二里
449,丰台,中海苏黎世家,3室1厅,131.64 ,15000 ,北京市丰台区中海苏黎世家
